小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,1,2,327.76152,3.34,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.28
0,1,2,328.96848,-1.45,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.54
0,0,2,421.38446,13.743,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,12.25
0,0,2,420.80879,18.523,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,11.8
0,0,2,421.01447,13.509,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,12.48
0,0,2,328.61105,0.91,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,8.05
0,0,2,328.79708,0.79,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,8.12
0,0,2,328.44132,0.7,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,8.16
0,0,2,421.20419,13.491,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,12.32
0,0,2,420.99178,18.181,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,11.89
0,0,2,421.26174,13.401,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,12.48
0,0,2,355.06945,0.56,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,9.13
0,0,2,355.26296,0.69,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,9.59
0,0,2,355.21502,0.56,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,9.69
1,0,2,63.50882,9.901,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,0.16
1,0,2,65.38933,5.161,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,0.36
1,0,2,66.99646,9.751,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,0.34
0,0,2,184.96977,-5.454,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.65
0,0,2,184.88794,-5.444,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.61
0,0,2,184.89496,-5.424,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.57
0,0,2,208.31409,0.477,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.4
0,0,2,208.23525,0.277,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.71
0,0,2,208.2393,0.527,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.34
0,0,2,180.83472,3.433,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.78
0,0,2,181.70252,3.442,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.56
0,0,2,180.65356,3.352,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.54
0,0,2,344.82704,-5.049,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.43
0,0,2,344.75887,-5.029,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.73
0,0,2,344.96129,-4.879,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.36
0,1,2,210.43005,0.673,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.66
0,1,2,208.05965,5.413,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.7
0,1,2,206.82436,0.623,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,3.54
0,1,2,186.61407,-2.296,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,2.32
0,1,2,183.76571,2.604,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,2.32
0,1,2,180.74769,-2.336,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,2.39
0,0,2,336.77649,-5.937,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,8.53
0,0,2,336.92826,-6.027,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,8.69
0,0,2,336.23374,-5.897,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,8.54
0,0,2,289.35985,12.725,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.4
0,0,2,289.68911,12.975,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.29
0,0,2,289.25407,12.715,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.32
0,0,2,281.60103,-5.82,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.39
0,0,2,281.6595,-5.7,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.56
0,0,2,281.61566,-5.86,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.64
0,0,2,276.19728,-2.69,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.96
0,0,2,276.11965,-2.55,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.01
0,0,2,276.32893,-2.32,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.99
0,0,2,355.69192,0.457,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,9.48
0,0,2,354.94928,0.344,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,9.42
0,0,2,354.60846,0.767,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,9.38
0,0,2,184.66697,-5.668,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.55
